wavenumber,col,mean_cancer,mean_control,sd_cancer,sd_control,p_value,p_adj,log2_fc,abs_diff,neg_log10p,cancer,display
1117.32,x_1117.32,-0.6243563765854858,-0.7777122134887654,0.26883858713006004,0.16095953134910213,2.0028606192852417e-5,1.012256583260379e-4,-0.31686711065792883,0.15335583690327959,3.994709390094883,OVA,Ovarian (OVC)
1119.25,x_1119.25,-0.5626671192381955,-0.7500113901191328,0.2751875379120406,0.16738117185416448,2.7549639896056544e-7,2.2016165216079375e-6,-0.41463148724774895,0.1873442708809373,5.657258324352905,OVA,Ovarian (OVC)
1121.17,x_1121.17,-0.5110455182835435,-0.7153677951631975,0.2876666295438679,0.1735946414377486,3.926135031101933e-8,4.4767515293662287e-7,-0.48523418182741285,0.20432227687965399,6.349037009351137,OVA,Ovarian (OVC)
1123.09,x_1123.09,-0.4713896975088717,-0.673543719823496,0.30291435760300384,0.18449831666003283,2.0873683327556086e-7,1.7582787307445893e-6,-0.5148522848384002,0.20215402231462432,5.7549122773686205,OVA,Ovarian (OVC)
1125.01,x_1125.01,-0.4401383076870506,-0.6389185316768049,0.3297002433561019,0.19449161449626504,3.6504195017244136e-6,2.2754281560748847e-5,-0.5376760620782469,0.1987802239897543,4.642936872270445,OVA,Ovarian (OVC)
1126.94,x_1126.94,-0.40831229791995355,-0.608343746661826,0.35621115638764234,0.2021467443650441,1.3623790957551036e-5,7.405956130994314e-5,-0.5752148949006605,0.20003144874187245,4.1304188648120315,OVA,Ovarian (OVC)
1128.86,x_1128.86,-0.3792090805865947,-0.5879240298604832,0.37508940598000673,0.2080802109404125,6.101440942031233e-6,3.633660688407136e-5,-0.6326375845034512,0.2087149492738885,4.4396556295960945,OVA,Ovarian (OVC)
1130.78,x_1130.78,-0.35892651244180834,-0.5784673456906518,0.38749785699812367,0.20924874759827738,2.019561371408738e-6,1.3392126824589858e-5,-0.6885485543001576,0.2195408332488435,4.873150446525342,OVA,Ovarian (OVC)
1132.71,x_1132.71,-0.35298652078281173,-0.5745795084144902,0.39729293709631536,0.2067744903196195,4.768008378174896e-6,2.8948622296061867e-5,-0.7028950248095562,0.2215929876316785,4.538372100104263,OVA,Ovarian (OVC)
1134.63,x_1134.63,-0.30750562828260924,-0.5660701509514875,0.3941256624454998,0.21218867458137217,3.712096223775772e-8,4.2849505792967247e-7,-0.8803701785450185,0.25856452266887825,6.368054182670187,OVA,Ovarian (OVC)
