cancer,wavenumber,shap,abs_shap
PRC,617.82,-0.025871478389528513,0.025871478389528513
PRC,619.74,0.16212512606166912,0.16212512606166912
PRC,621.67,0.10177752580647724,0.10177752580647724
PRC,623.6,-0.0438504272155934,0.0438504272155934
PRC,625.53,0.018799084020689163,0.018799084020689163
PRC,627.46,0.06792814644210801,0.06792814644210801
PRC,629.38,0.050765251547087206,0.050765251547087206
PRC,631.31,0.014875364270457204,0.014875364270457204
PRC,633.24,0.007992163809290794,0.007992163809290794
PRC,635.17,0.002471079344801515,0.002471079344801515
PRC,637.09,-0.003443466909753628,0.003443466909753628
PRC,639.02,-0.0019283888617975028,0.0019283888617975028
PRC,640.95,0.0016468345553068138,0.0016468345553068138
PRC,642.88,0.004520227070838211,0.004520227070838211
PRC,644.81,0.0060917754253924546,0.0060917754253924546
PRC,646.73,-0.01345654937165826,0.01345654937165826
PRC,648.66,-0.021048234828543316,0.021048234828543316
PRC,650.59,0.01718735853200105,0.01718735853200105
PRC,652.52,0.026078275573572507,0.026078275573572507
PRC,654.45,-0.005756168350433726,0.005756168350433726
PRC,656.37,-0.009094967389176601,0.009094967389176601
PRC,658.3,0.00254395437231298,0.00254395437231298
PRC,660.23,0.0003016596364197064,0.0003016596364197064
PRC,662.16,0.00045519689767676614,0.00045519689767676614
PRC,664.09,-0.0013491240123348566,0.0013491240123348566
PRC,666.01,-0.0010554937086332018,0.0010554937086332018
PRC,667.94,0.012658800084776912,0.012658800084776912
PRC,669.87,-0.01250177100281476,0.01250177100281476
PRC,671.8,-0.004272374538886465,0.004272374538886465
PRC,673.72,0.004402945861565623,0.004402945861565623
PRC,675.65,0.003488660184728104,0.003488660184728104
PRC,677.58,-0.005806871326734132,0.005806871326734132
PRC,679.51,0.017964195201678565,0.017964195201678565
PRC,681.44,0.01879973272943314,0.01879973272943314
PRC,683.36,-0.023318189058687676,0.023318189058687676
PRC,685.29,-0.07110031356972281,0.07110031356972281
PRC,687.22,-0.06650413059800796,0.06650413059800796
