dataset,dataset_label,sample_id,comparison,similarity
lot_balanced_thermo,Thermo,BLC 25,Random other-group primary,0.2183654106972416
lot_balanced_thermo,Thermo,BLC 26,True same sample,0.8483023622610695
lot_balanced_thermo,Thermo,BLC 26,Best wrong primary,0.9223763263597363
lot_balanced_thermo,Thermo,BLC 26,Random same-group primary,0.6647572186925186
lot_balanced_thermo,Thermo,BLC 26,Random same-group primary,0.63687554988348
lot_balanced_thermo,Thermo,BLC 26,Random same-group primary,0.4200184904720613
lot_balanced_thermo,Thermo,BLC 26,Random same-group primary,0.5401644128915137
lot_balanced_thermo,Thermo,BLC 26,Random same-group primary,0.8565174672363968
lot_balanced_thermo,Thermo,BLC 26,Random other-group primary,0.5270038679067945
lot_balanced_thermo,Thermo,BLC 26,Random other-group primary,0.5384102074112005
lot_balanced_thermo,Thermo,BLC 26,Random other-group primary,0.04278438212323995
lot_balanced_thermo,Thermo,BLC 26,Random other-group primary,0.18598881980844276
lot_balanced_thermo,Thermo,BLC 26,Random other-group primary,0.7432780277202673
lot_balanced_thermo,Thermo,BLC 27,True same sample,0.3544483127409036
lot_balanced_thermo,Thermo,BLC 27,Best wrong primary,0.8324216871387986
lot_balanced_thermo,Thermo,BLC 27,Random same-group primary,0.2920246726368464
lot_balanced_thermo,Thermo,BLC 27,Random same-group primary,0.6519720592967103
lot_balanced_thermo,Thermo,BLC 27,Random same-group primary,0.5401909580365524
lot_balanced_thermo,Thermo,BLC 27,Random same-group primary,0.22656314446543857
lot_balanced_thermo,Thermo,BLC 27,Random same-group primary,0.3776228460450951
lot_balanced_thermo,Thermo,BLC 27,Random other-group primary,0.5100784079186373
lot_balanced_thermo,Thermo,BLC 27,Random other-group primary,0.34853157714852623
lot_balanced_thermo,Thermo,BLC 27,Random other-group primary,0.36327783581960116
lot_balanced_thermo,Thermo,BLC 27,Random other-group primary,0.3899771261931922
lot_balanced_thermo,Thermo,BLC 27,Random other-group primary,0.4050284232048915
lot_balanced_thermo,Thermo,BLC 28,True same sample,0.5961410439866183
lot_balanced_thermo,Thermo,BLC 28,Best wrong primary,0.8787849200967321
lot_balanced_thermo,Thermo,BLC 28,Random same-group primary,0.07314400108062066
lot_balanced_thermo,Thermo,BLC 28,Random same-group primary,0.5071920031851607
lot_balanced_thermo,Thermo,BLC 28,Random same-group primary,0.24452916957990176
lot_balanced_thermo,Thermo,BLC 28,Random same-group primary,0.391949852244504
lot_balanced_thermo,Thermo,BLC 28,Random same-group primary,0.6438602435960903
lot_balanced_thermo,Thermo,BLC 28,Random other-group primary,0.21431479439530082
lot_balanced_thermo,Thermo,BLC 28,Random other-group primary,0.42142764670813054
lot_balanced_thermo,Thermo,BLC 28,Random other-group primary,0.603348451158886
lot_balanced_thermo,Thermo,BLC 28,Random other-group primary,0.460475022730807
lot_balanced_thermo,Thermo,BLC 28,Random other-group primary,0.27939493836209894
lot_balanced_thermo,Thermo,BLC 29,True same sample,0.6045060888300651
lot_balanced_thermo,Thermo,BLC 29,Best wrong primary,0.8360844312746051
lot_balanced_thermo,Thermo,BLC 29,Random same-group primary,0.43871094523552906
lot_balanced_thermo,Thermo,BLC 29,Random same-group primary,0.5442922186500655
lot_balanced_thermo,Thermo,BLC 29,Random same-group primary,0.26953849045706096
lot_balanced_thermo,Thermo,BLC 29,Random same-group primary,0.5362202501259581
lot_balanced_thermo,Thermo,BLC 29,Random same-group primary,0.4826091521808359
