cancer_type,metabolite,n_peaks_matched,mean_sers_correlation,peaks_matched,best_peak_rank,composite_score
PRO,Glycine,3,0.3627,849; 1449; 1601,4,1.0881
PRO,Acrylic acid,2,0.5162,849; 1449,4,1.0324
PRO,Histidine,4,0.2507,849; 1001; 1449; 1647,1,1.0028
PRO,O-Acetylcarnitine,2,0.4891,849; 1449,4,0.9782
PRO,Glutamic acid,4,0.2388,849; 1001; 1449; 1601,1,0.9552
PRO,Xylose,2,0.4721,849; 1449,4,0.9442
PRO,4-Pyridoxic acid,4,0.2355,849; 1001; 1449; 1601,1,0.942
PRO,Kynurenine,3,0.3109,724; 849; 1449,3,0.9327000000000001
PRO,Malic acid,2,0.4468,849; 1449,4,0.8936
PRO,Serine,2,0.4454,849; 1449,4,0.8908
PRO,Taurine,2,0.4405,849; 1449,4,0.881
PRO,cis-Aconitic acid,2,0.4377,849; 1449,4,0.8754
PRO,N-Acetylneuraminic acid,2,0.4292,849; 1449,4,0.8584
PRO,Glycocholic acid,3,0.2839,849; 1449; 1601,4,0.8516999999999999
PRO,Uric acid,4,0.2117,849; 1001; 1449; 1647,1,0.8468
PRO,Threonine,2,0.403,849; 1449,4,0.806
PRO,4-Methoxyphenol,3,0.2682,452; 1001; 1449,1,0.8046
PRO,Pyrimidine,2,0.3924,849; 1449,4,0.7848
PRO,Glycogen,3,0.2614,849; 1449; 1601,4,0.7842
PRO,Cysteine,3,0.24759999999999996,849; 1001; 1601,1,0.7427999999999999
PRO,Inosine,2,0.3547,849; 1001,1,0.7094
PRO,trans-Aconitic acid,2,0.3492,849; 1449,4,0.6984
PRO,Creatinine,3,0.2278,452; 724; 1601,3,0.6834
PRO,Sphinganine,2,0.3324,849; 1601,6,0.6648
PRO,Methyl DL-2-Aminobutyrate,2,0.3175,849; 1449,4,0.635
PRO,Creatine,2,0.2687,1001; 1449,1,0.5374
PRO,Adenine,2,0.2323,724; 1449,3,0.4646
PRO,1-Hydroxylpyrene,3,0.1523,849; 1001; 1601,1,0.4569
PRO,Tyrosine,3,0.1276,849; 1449; 1601,4,0.3828
PRO,Xanthine,3,0.126,849; 1001; 1449,1,0.378
PRO,NADH,1,0.3644,849,8,0.3644
PRO,Kaempferol,1,0.3054,1601,6,0.3054
PRO,Uracil,2,0.1449,1001; 1449,1,0.2898
PRO,Guanine,1,0.1673,849,8,0.1673
BRE,Hippuric acid,4,0.7642,685; 1001; 1354; 1603,1,3.0568
BRE,Adenosine,4,0.6271,685; 724; 1001; 1354,1,2.5084
BRE,2-Phenylacetamide,3,0.7764000000000001,1001; 1354; 1603,1,2.3292
BRE,Palmitic acid,3,0.639,685; 1001; 1603,1,1.917
BRE,Hypoxanthine,5,0.3826,685; 724; 1001; 1354; 1603,1,1.913
BRE,Galactosamine,4,0.4782,685; 1001; 1354; 1603,1,1.9128
BRE,Trimethylamine-N-oxide,3,0.6203,685; 1001; 1354,1,1.8609
BRE,Benzoic acid,3,0.5997,685; 1001; 1603,1,1.7991000000000001
BRE,Leucine,3,0.5365,685; 1001; 1603,1,1.6095
BRE,Aspartic acid,3,0.5246,685; 1001; 1603,1,1.5737999999999999
BRE,Methyl-beta-D-Ribofuranoside,3,0.5207,685; 1001; 1603,1,1.5621
BRE,Methyl 2-Hydroxyisobutyrate,3,0.5066,685; 1001; 1603,1,1.5198
BRE,1-Octanol,3,0.5054,685; 1001; 1603,1,1.5162
BRE,"1,2,4,-Trimethylbenzene",3,0.5052,685; 1001; 1603,1,1.5156
BRE,Isoleucine,3,0.4915,685; 1001; 1603,1,1.4745
BRE,Arginine,3,0.4801,685; 1001; 1603,1,1.4403000000000001
BRE,Stearic acid,2,0.6944,1001; 1603,1,1.3888
BRE,p-Cymene,3,0.4521,685; 1001; 1603,1,1.3563
BRE,Choline,3,0.4438,685; 724; 1603,3,1.3314
BRE,Phenylalanine,2,0.6613,1001; 1603,1,1.3226
BRE,Proline,3,0.4375,685; 1001; 1603,1,1.3125
BRE,Maleic acid,3,0.4369,685; 1603; 1647,5,1.3107
BRE,Methyl alfa-D-Glucopyranoside,3,0.4239,1001; 1354; 1603,1,1.2717
BRE,Cholesterol,2,0.5898,1001; 1603,1,1.1796
BRE,Ascorbic acid,2,0.5802,685; 1603,6,1.1604
BRE,3-Hepatanone,2,0.5689,1001; 1603,1,1.1378
BRE,Betaine,3,0.3729,685; 1001; 1603,1,1.1187
BRE,8-Hydroxy-2-deoxyguanosine,3,0.3611,685; 724; 1603,3,1.0833
BRE,Xylonic acid,2,0.5298,685; 1603,6,1.0596
BRE,Anisole,2,0.4789,685; 1001,1,0.9578
BRE,Alanine,2,0.4733,1001; 1603,1,0.9466
BRE,Fucose,2,0.4452,1001; 1603,1,0.8904
BRE,Pseudouridine,3,0.29,1001; 1603; 1647,1,0.8699999999999999
BRE,2-Naphthol,2,0.4076,685; 1001,1,0.8152
BRE,Glucose,2,0.3983,1001; 1603,1,0.7966
BRE,Tryptophan,2,0.3748,1001; 1354,1,0.7496
BRE,Spermidine,2,0.3727,1001; 1603,1,0.7454
BRE,Cysteine,3,0.24759999999999996,685; 1001; 1603,1,0.7427999999999999
BRE,Glutamic acid,3,0.2388,685; 1001; 1603,1,0.7164
BRE,Creatinine,3,0.2278,685; 724; 1603,3,0.6834
BRE,Kynurenine,2,0.3109,685; 724,3,0.6218
BRE,Kaempferol,2,0.3054,685; 1603,6,0.6108
BRE,Glycocholic acid,2,0.2839,685; 1603,6,0.5678
BRE,4-Methoxyphenol,2,0.2682,1001; 1354,1,0.5364
BRE,Acrylic acid,1,0.5162,685,8,0.5162
BRE,Histidine,2,0.2507,1001; 1647,1,0.5014
BRE,Xylose,1,0.4721,685,8,0.4721
BRE,4-Pyridoxic acid,2,0.2355,1001; 1603,1,0.471
BRE,Serine,1,0.4454,685,8,0.4454
BRE,N-Acetylneuraminic acid,1,0.4292,685,8,0.4292
BRE,Uric acid,2,0.2117,1001; 1647,1,0.4234
BRE,Threonine,1,0.403,685,8,0.403
BRE,Pyrimidine,1,0.3924,685,8,0.3924
BRE,Valine,1,0.3775,1603,6,0.3775
BRE,Glycine,1,0.3627,1603,6,0.3627
BRE,Inosine,1,0.3547,1001,1,0.3547
BRE,Sphinganine,1,0.3324,1603,6,0.3324
BRE,Methyl DL-2-Aminobutyrate,1,0.3175,685,8,0.3175
BRE,1-Hydroxylpyrene,2,0.1523,1001; 1603,1,0.3046
BRE,Creatine,1,0.2687,1001,1,0.2687
BRE,Glycogen,1,0.2614,1603,6,0.2614
BRE,Tyrosine,2,0.1276,685; 1603,6,0.2552
BRE,Adenine,1,0.2323,724,3,0.2323
BRE,Uracil,1,0.1449,1001,1,0.1449
BRE,Xanthine,1,0.126,1001,1,0.126
OVA,2-Phenylacetamide,4,0.7764,1001; 1352; 1449; 1599,1,3.1056
OVA,Hippuric acid,4,0.7642,1001; 1352; 1449; 1599,1,3.0568
OVA,Palmitic acid,4,0.639,1001; 1295; 1449; 1599,1,2.556
OVA,Galactosamine,5,0.4782,1001; 1295; 1352; 1449; 1599,1,2.391
OVA,3-Hepatanone,4,0.5689,1001; 1295; 1449; 1599,1,2.2756
OVA,Leucine,4,0.5365,1001; 1295; 1449; 1599,1,2.146
OVA,Stearic acid,3,0.6944,1001; 1449; 1599,1,2.0832
OVA,1-Octanol,4,0.5054,1001; 1295; 1449; 1599,1,2.0216
OVA,"1,2,4,-Trimethylbenzene",4,0.5052,1001; 1295; 1449; 1599,1,2.0208
OVA,Phenylalanine,3,0.6613,1001; 1449; 1599,1,1.9839
OVA,Isoleucine,4,0.4915,1001; 1295; 1449; 1599,1,1.966
OVA,Arginine,4,0.4801,1001; 1295; 1449; 1599,1,1.9204
OVA,Hypoxanthine,5,0.3826,722; 1001; 1352; 1449; 1599,1,1.913
OVA,Alanine,4,0.4733,1001; 1295; 1449; 1599,1,1.8932
OVA,Adenosine,3,0.6271,722; 1001; 1352,1,1.8813
OVA,Trimethylamine-N-oxide,3,0.6203,1001; 1352; 1449,1,1.8609
OVA,p-Cymene,4,0.4521,1001; 1295; 1449; 1599,1,1.8084
OVA,Benzoic acid,3,0.5997,1001; 1449; 1599,1,1.7991000000000001
